Tanggal Penjualan;Nama Customer;Usia;Gender;Pekerjaan;Event;Nama Produk;Kategori Produk;Jumlah;Satuan;Merk;Harga Produk;Total Harga
01-Jan-25;Samsul;40;Laki-laki;Pekerja Pabrik;Weekday;Celengan;Souvenir;12;Pcs;Tidak Ada Merk;5.000;60.000
01-Jan-25;Maya;30;Perempuan;Pegawai Kantor;Weekday;Fitting;Elektronik;3;Pcs;Visalux;10.000;30.000
01-Jan-25;Gilang;41;Laki-laki;Pekerja Pabrik;Weekday;Celengan ;Souvenir;12;Pcs;Tidak Ada Merk;5.000;60.000
01-Jan-25;Siti;32;Perempuan;Ibu Rumah Tangga;Weekday;Celemek ;Peralatan Dapur;1;Pcs;Tidak Ada Merk;29.000;29.000
01-Jan-25;Nicholas;44;Laki-laki;Pekerja Pabrik;Weekday;Elbow ;Perkakas;12;Pcs;Cross;5.000;60.000
01-Jan-25;Reyhan;41;Laki-laki;Pekerja Pabrik;Weekday;Evamatic;Perkakas;6;Pcs;Tidak Ada Merk;20.000;120.000
01-Jan-25;Samsul;37;Laki-laki;Karyawan Swasta;Weekday;Jepitan Bakaran ;Peralatan Dapur;1;Pcs;Tidak Ada Merk;60.000;60.000
01-Jan-25;Dewi;25;Perempuan;Pegawai Kantor;Weekday;Lampu LED;Elektronik;1;Pcs;Potens;30.000;30.000
01-Jan-25;Reyhan;31;Laki-laki;Teknisi;Weekday;Lampu LED;Elektronik;1;Pcs;Potens;30.000;30.000
01-Jan-25;Rina;21;Perempuan;Pelajar/Mahasiswa;Weekday;Meteran;Perkakas;1;Pcs;K-TE;20.000;20.000
01-Jan-25;Bayu;43;Laki-laki;Pekerja Pabrik;Weekday;Kuas;Perkakas;12;Botol;Joker;5.000;60.000
01-Jan-25;Agus;43;Laki-laki;Pekerja Pabrik;Weekday;Kuas;Perkakas;12;Pcs;Joker;5.000;60.000
01-Jan-25;Yosef;35;Laki-laki;Karyawan Swasta;Weekday;Perangkap Tikus;Peralatan Dapur;3;Pcs;Tidak Ada Merk;25.000;75.000
01-Jan-25;Bayu;40;Laki-laki;Karyawan Swasta;Weekday;Sapu;Peralatan Dapur;2;Pcs;Shun Hong;25.000;50.000
01-Jan-25;Siti;32;Perempuan;Ibu Rumah Tangga;Weekday;Sendok;Peralatan Dapur;1;Lusin;HS;10.000;10.000
01-Jan-25;Reyhan;31;Laki-laki;Teknisi;Weekday;Plug;Elektronik;2;Pcs;Visalux;20.000;40.000
01-Jan-25;Teguh;34;Laki-laki;Teknisi;Weekday;Saklar;Elektronik;1;Pcs;Visalux;25.000;25.000
01-Jan-25;Reyhan;41;Laki-laki;Pekerja Pabrik;Weekday;Skrap;Perkakas;5;Bungkus;Gladio;15.000;75.000
01-Jan-25;Yulianto;35;Laki-laki;Teknisi;Weekday;Stop Kontak ;Elektronik;1;Pcs;Visalux;25.000;25.000
01-Jan-25;Ridwan;40;Laki-laki;Pekerja Pabrik;Weekday;Thinner;Perkakas;4;Pcs;Tidak Ada Merk;15.000;60.000
01-Jan-25;Citra;24;Perempuan;Pegawai Kantor;Weekday;Test Pen;Elektronik;3;Pcs;Visalux;10.000;30.000
01-Jan-25;Yusuf;37;Laki-laki;Pengusaha;New Year's Day;Celemek;Peralatan Dapur;1;Pcs;Tidak Ada Merk;29000;29000
01-Jan-25;Fajar;25;Laki-laki;Pegawai Kantor;New Year's Day;Steker ;Elektronik;1;Pcs;Visalux;25000;25000
01-Jan-25;Irfan;22;Laki-laki;Pegawai Kantor;New Year's Day;Sapu;Peralatan Dapur;2;Pcs;Shun Hong;25000;50000
01-Jan-25;Samsul;40;Laki-laki;Pekerja Pabrik;New Year's Day;Lampu LED;Elektronik;1;Pcs;Pot;16000;16000
01-Jan-25;Bayu;33;Laki-laki;Supir/Ojek Online;New Year's Day;Lampu LED;Elektronik;1;Pcs;Pot;22000;22000
01-Jan-25;Gilang;21;Laki-laki;Pelajar/Mahasiswa;New Year's Day;Skrap;Perlengkapan Rumah;1;Pcs;Gladio;7000;7000
01-Jan-25;Dani;37;Laki-laki;Karyawan Swasta;New Year's Day;Jepitan Bakaran;Peralatan Dapur;1;Pcs;Tidak Ada Merk;60000;60000
01-Jan-25;Budi;30;Laki-laki;Pengusaha;New Year's Day;Elbow;Perlengkapan Rumah;4;Pcs;Cross;3000;12000
01-Jan-25;Rahmat;34;Laki-laki;Supir/Ojek Online;New Year's Day;Celengan;Souvenir;2;Pcs;Tidak Ada Merk;3000;6000
01-Jan-25;Tono;31;Laki-laki;Pegawai Kantor;New Year's Day;Perangkap Tikus;Peralatan Dapur;1;Pcs;Tidak Ada Merk;25000;25000
01-Jan-25;Yosef;37;Laki-laki;Pengusaha;New Year's Day;Saklar;Elektronik;1;Pcs;Visalux;25000;25000
01-Jan-25;Yanto;32;Laki-laki;Supir/Ojek Online;New Year's Day;Steker ;Elektronik;1;Pcs;Visalux;25000;25000
02-Jan-25;Melati;38;Perempuan;Ibu Rumah Tangga;Weekday;Kuningan Kompor;Peralatan Dapur;1;Pcs;Rinnai;35.000;35.000
02-Jan-25;Dina;40;Perempuan;Ibu Rumah Tangga;Weekday;Pisau;Peralatan Dapur;1;Pcs;Dong Fang;15.000;15.000
02-Jan-25;Andi;45;Laki-laki;Pekerja Pabrik;Weekday;Karpet;Perlengkapan Rumah;3;Meter;Jordan;30.000;90.000
02-Jan-25;Gunawan;43;Laki-laki;Pekerja Pabrik;Weekday;Klem ;Perkakas;4;Pcs;Tidak Ada Merk;20.000;80.000
02-Jan-25;Melati;22;Perempuan;Pelajar/Mahasiswa;Weekday;Paku ;Perkakas;1;Bungkus;Tidak Ada Merk;20.000;20.000
